epoch,train_loss,val_loss,duration
1,0.08517207531685676,0.019360788244133193,1.782898187637329
2,0.01438465110376614,0.00929605436976999,2.188384771347046
3,0.009432926961998328,0.006216741613267611,1.65328049659729
4,0.007160272637228353,0.005024025294308861,1.9615504741668701
5,0.006221551196051574,0.004534307828483482,1.9947595596313477
6,0.005694458167145558,0.004229247521531458,2.152275323867798
7,0.005372238973446122,0.004025280359201133,1.993985891342163
8,0.005131231338947738,0.0038798541063442826,2.119171619415283
9,0.0049571086515869025,0.003766889994343122,1.5112271308898926
10,0.004803659321757358,0.0036574411885036775,2.2207889556884766
